step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,phase,front,front_delta,best_i,best_distance,anglePlan,severity,desired_track_pos,emergency_front_brake,stability_mode,stuck_counter,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
100000,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5235.99,1,0.45,0.0,-0.01902991160097381,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,1,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99999,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5303.22,1,0.45,0.0,-0.03491988778778694,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,2,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99998,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5371.3,1,0.45,0.0,-0.0481880179037759,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,3,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99997,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5440.22,1,0.45,0.0,-0.059266906550626684,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,4,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99996,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5510.0,1,0.45,0.0,-0.06851777857074709,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,5,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99995,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5580.64,1,0.45,0.0,-0.07624225670754763,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,6,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99994,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5652.14,1,0.45,0.0,-0.08269219595177607,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,7,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99993,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5724.52,1,0.45,0.0,-0.08807789522070683,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,8,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99992,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5797.79,1,0.45,0.0,-0.09257495411026401,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,9,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99991,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5871.94,1,0.45,0.0,-0.09632999828304425,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,10,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99990,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5946.99,1,0.45,0.0,-0.09946546016731576,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,11,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99989,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6022.94,1,0.45,0.0,-0.10208357084068247,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,12,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99988,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6099.79,1,0.45,0.0,-0.10426969325294366,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,13,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99987,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6177.57,1,0.45,0.0,-0.10609510546718176,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,14,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99986,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6256.26,1,0.45,0.0,-0.10761932466607058,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,15,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99985,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6335.88,1,0.45,0.0,-0.10889204769714274,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,16,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99984,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6416.44,1,0.45,0.0,-0.10995477142808799,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,17,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99983,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6497.94,1,0.45,0.0,-0.11084214574342728,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,18,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99982,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6580.38,1,0.45,0.0,-0.11158310329673558,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,19,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99981,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6663.78,1,0.45,0.0,-0.11220180285374802,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,20,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99980,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6748.14,1,0.45,0.0,-0.1127184169838534,206,SHALLOW,EXIT,62.0267,0.0,3,140.486,-7,0.38441262722323044,0.0,0.0,False,21,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
