step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,front,best_i,best_distance,anglePlan,severity,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
100000,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5235.99,1,0.45,0.0,-0.03834897388039673,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99999,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5303.22,1,0.45,0.0,-0.07132909141753792,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99998,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5371.3,1,0.45,0.0,-0.09969199249947934,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99997,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5440.22,1,0.45,0.0,-0.12408408742994895,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99996,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5510.0,1,0.45,0.0,-0.1450612890701528,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99995,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5580.64,1,0.45,0.0,-0.16310168248072815,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99994,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5652.14,1,0.45,0.0,-0.17861642081382295,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99993,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5724.52,1,0.45,0.0,-0.19195909578028447,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99992,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5797.79,1,0.45,0.0,-0.20343379625144137,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99991,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5871.94,1,0.45,0.0,-0.2133020386566363,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99990,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,5946.99,1,0.45,0.0,-0.22178872712510395,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99989,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6022.94,1,0.45,0.0,-0.22908727920798613,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99988,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6099.79,1,0.45,0.0,-0.2353640339992648,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99987,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6177.57,1,0.45,0.0,-0.24076204311976446,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99986,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6256.26,1,0.45,0.0,-0.24540433096339417,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99985,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6335.88,1,0.45,0.0,-0.24939669850891572,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99984,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6416.44,1,0.45,0.0,-0.25283013459806425,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99983,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6497.94,1,0.45,0.0,-0.25578288963473195,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99982,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6580.38,1,0.45,0.0,-0.2583222589662662,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99981,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6663.78,1,0.45,0.0,-0.2605061165913857,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99980,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6748.14,1,0.45,0.0,-0.26238423414898837,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99979,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6833.45,1,0.45,0.0,-0.2639994152485267,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99978,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6919.74,1,0.45,0.0,-0.2653884709941297,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
